2024/04/16 00:39:08 [error] 16028#23000: *1291 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://127.0.0.1:10026", host: "motaphoto.local", referrer: "http://motaphoto.local/wp-admin/plugin-install.php?s=contact&tab=search&type=term"
2024/04/25 13:29:47 [error] 16128#21888: *9505 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-content/themes/motaphoto-child/js/custom-popup.js HTTP/1.0", upstream: "fastcgi://127.0.0.1:10027", host: "motaphoto.local", referrer: "http://motaphoto.local/wp-admin/admin.php?page=cptui_manage_post_types"
2024/05/22 12:07:59 [error] 16940#17352: *14185 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.0", upstream: "fastcgi://127.0.0.1:10026", host: "motaphoto.local", referrer: "http://motaphoto.local/wp-admin/post.php?post=151&action=edit"
2024/05/22 12:08:00 [error] 16940#17352: *14187 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/?_fields=description%2Cgmt_offset%2Chome%2Cname%2Csite_icon%2Csite_icon_url%2Csite_logo%2Ctimezone_string%2Curl&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10027", host: "motaphoto.local", referrer: "http://motaphoto.local/wp-admin/post.php?post=151&action=edit"
2024/05/22 12:08:00 [error] 16940#17352: *14187 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/?_fields=description%2Cgmt_offset%2Chome%2Cname%2Csite_icon%2Csite_icon_url%2Csite_logo%2Ctimezone_string%2Curl&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "motaphoto.local", referrer: "http://motaphoto.local/wp-admin/post.php?post=151&action=edit"
2024/05/22 12:08:02 [error] 16940#17352: *14185 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.0", upstream: "fastcgi://127.0.0.1:10027", host: "motaphoto.local", referrer: "http://motaphoto.local/wp-admin/post.php?post=151&action=edit"
2024/05/22 12:08:03 [error] 16940#17352: *14190 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "motaphoto.local", referrer: "http://motaphoto.local/wp-admin/post.php?post=151&action=edit"
2024/05/22 12:08:03 [error] 16940#17352: *14191 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/edit.php?post_type=photo HTTP/1.0", upstream: "fastcgi://php", host: "motaphoto.local", referrer: "http://motaphoto.local/wp-admin/post.php?post=147&action=edit"
2024/05/22 12:08:05 [error] 16940#17352: *14192 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/post.php?post=151&action=edit HTTP/1.0", upstream: "fastcgi://php", host: "motaphoto.local", referrer: "http://motaphoto.local/wp-admin/post.php?post=151&action=edit"
2024/05/22 12:08:07 [error] 16940#17352: *14193 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /photo/test1/ HTTP/1.0", upstream: "fastcgi://php", host: "motaphoto.local", referrer: "http://motaphoto.local/wp-admin/post.php?post=151&action=edit"
2024/05/22 12:08:09 [error] 16940#17352: *14194 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /photo/test1/ HTTP/1.0", upstream: "fastcgi://php", host: "motaphoto.local", referrer: "http://motaphoto.local/wp-admin/post.php?post=151&action=edit"
2024/05/22 12:08:09 [error] 16940#17352: *14195 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.0", upstream: "fastcgi://php", host: "motaphoto.local", referrer: "http://motaphoto.local/photo/test1/"
